Id,Project_Name,Project_Name_Link,Image_Link,Image_Link_Name,Project_Location,Project_Location_Redirect_Line,Price_Range,Built_Up_Area,EMI,Rera,Marketed_by,Owner_name,Owner_link,Owner_type,Description,NearBy_Facility
11,2 BHK Apartment,https://housing.com/in/buy/resale/page/4405518-2-bhk-apartment-in-kalyan-west-for-rs-4900000,//c.housingcdn.com/s/assets/badge.fbe4ad08.png,Prime User,"Royce Paradise Phase II by Royce Developers, Kalyan West, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_west,₹49.0 L,840 sq.ft,EMI starts at ₹30.56 K,None,None,Home Land Realtors,https://housing.com/agents/search-Aapv5t4i0thdpltr7m99rks1hb,Housing Prime Agent,"2 BHK Apartment available for sale in K M College Gandharik Road Khadak Pada Kalyan West., Kalyan West, Kalyan West, Mumbai. Available amenities are: Gym, Gas pipeline, Garden, Kids area, Lift. Apartm","{'N_Id': 11, 'Name': ['24x7 Security', 'Power Backup', 'Gated Community', 'School Proximity']}"
12,3 BHK Apartment,https://housing.com/in/buy/resale/page/1540779-3-bhk-apartment-in-kalyan-west-for-rs-13000000,https://is1-2.housingcdn.com/01c16c28/08515e7074e75578e92ffb1b5e3a9261/v2/medium/3_bhk_apartment-for-sale-kalyan_west-Beyond+Thane.jpg,Gallery Cover Image of 1670 Sq.ft 3 BHK Apartment for buy in Kalyan West for 13000000,"Swaraj Nebula Park, Kalyan West, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_west,₹1.3 Cr,1670 sq.ft,EMI starts at ₹76.01 K,None,None,Jayawant Jadhav,https://housing.com/agents/search-Afmoz5cb2blx3a9sj9kl97zizw,Housing Prime Agent,"3 BHK Apartment available for sale in Gandhar Nagar Road, Near Aayusha Hospital, Gandhar Nagar, Khadakpada, Kalyan West, Kalyan West, Mumbai. Available amenities are: Garden, Kids area, Lift. Apartmen","{'N_Id': 12, 'Name': ['24x7 Security', 'Fire Fighting Systems', 'Lift', 'Security Guards']}"
13,Unity Dream Home,https://housing.com/in/buy/projects/page/133853-unity-dream-home-by-unity-builders-and-developers-in-dombivli-east,https://is1-3.housingcdn.com/4f2250e8/f78a4fcb7530d88b54ef09e291b90033/v0/medium/unity_dream_home-sonar_pada_dombivli_east-mumbai-unity_builders_and_developers.jpeg,Gallery Cover Pic of Unity Dream Home,"Dombivli East, Beyond Thane",https://housing.com/in/buy/mumbai/dombivli_east,₹22 L - 49.25 L,"1 RK, 1, 2 BHK Apartments",EMI starts at ₹30.72 K,RERA,Marketed by SN REALITY,SN REALITY,https://housing.com/in/buy/agent/6628965_sn_reality,Seller,Dream Home is a beautiful apartment project being constructed by Unity Builders And Developers at Dombivli in Mumbai. The builders are well known for their innovative approach and have created an eleg,"{'N_Id': 13, 'Name': ['None']}"
14,Gurudatt Chandrabhaga Residency,https://housing.com/in/buy/projects/page/231826-gurudatt-chandrabhaga-residency-by-gurudatt-enterprises-in-dombivli-west,https://is1-3.housingcdn.com/4f2250e8/4359cf30eea253aae55e8dde5b66b724/v0/medium/gurudatt_chandrabhaga_residency-dombivli_west-mumbai-gurudatt_enterprises.jpeg,Gallery Cover Pic of Gurudatt Chandrabhaga Residency,"Dombivli West, Beyond Thane",https://housing.com/in/buy/mumbai/dombivli_west,₹25.93 L - 54.83 L,"1 RK, 1 BHK Apartments",EMI starts at ₹34.19 K,RERA,Marketed by Sales ,Sales ,https://housing.com/in/buy/agent/6764017_safal_fino_tech,Seller,"Chandrabhaga Residency is a residential project launched by Gurudatt Enterprises in Dombivali, Mumbai. The project is offering 1 BHK apartments exclusively. Built-up area of the apartments is in the r","{'N_Id': 14, 'Name': ['None']}"
15,Virkar Anand Sagar,https://housing.com/in/buy/projects/page/40273-virkar-anand-sagar-by-virkar-builders-developers-in-kalyan-west,https://is1-3.housingcdn.com/4f2250e8/a0c4ebf8f8ad7c2516cb5b9450621316/v0/medium/virkar_anand_sagar-khadakpada-mumbai-virkar_builders__developers.jpg,Gallery Cover Pic of Virkar Anand Sagar,"Kalyan West, Beyond Thane",https://housing.com/in/buy/mumbai/kalyan_west,₹65.78 L,2 BHK Apartment,EMI starts at ₹41.02 K,None,Marketed by Vastu Realities,Vastu Realities,https://housing.com/in/buy/agent/6355509_vastu_realities,Seller,Virkar Anand Sagar is a premium housing project at Khadakpada in Beyond Thane. The project is ready-to-move and the residents can enjoy several amenities including as . Social infrastructure like bank,"{'N_Id': 15, 'Name': ['None']}"
16,Rutu Riverview Classic,https://housing.com/in/buy/projects/page/4917-rutu-riverview-classic-by-rutu-group-in-kalyan-west,https://is1-2.housingcdn.com/4f2250e8/754612dab707993a8b418661fe5b8116/v0/medium/rutu_riverview_classic-adharwadi-mumbai-rutu_group.jpg,Gallery Cover Pic of Rutu Riverview Classic,"Adharwadi, Kalyan West",https://housing.com/in/buy/mumbai/kalyan_west,₹39.75 L - 41.13 L,1 BHK Apartment,EMI starts at ₹25.65 K,RERA,By Rutu Group,Rutu Group,https://housing.com/in/buy/builders/178262_rutu_group,Developer,"Rera Id P51700017199 is for project Riverview Classic Building No 4, Phase IV. Riverview Classic is a majestically designed residential building for the individuals who always seek for living lavish l","{'N_Id': 16, 'Name': ['None']}"
17,Prakruti Sparsh,https://housing.com/in/buy/projects/page/171364-prakruti-sparsh-by-prakruti-group-in-ambernath-east,https://is1-2.housingcdn.com/4f2250e8/85cefe07e290d3fd0c51f959c71ea173/v0/medium/prakruti_sparsh-ambernath_east-mumbai-prakruti_group.jpeg,Gallery Cover Pic of Prakruti Sparsh,"Ambernath East, Beyond Thane",https://housing.com/in/buy/mumbai/ambernath_east,₹19.21 L - 26.99 L,"1, 2 BHK Apartments",EMI starts at ₹16.83 K,RERA,By Prakruti Group,Prakruti Group,https://housing.com/in/buy/builders/489036_prakruti_group,Developer,"Avishkar Buildcon is providing a great opportunity to turn your dream of owning a beautiful home. Prakruti Sparsh is indeed a magnificent housing real estate project located at Ambernath East, Mumbai.","{'N_Id': 17, 'Name': ['None']}"
18,Jhalak Luxuria,https://housing.com/in/buy/projects/page/122069-jhalak-luxuria-by-jhalak-constructions-in-morivali,https://is1-3.housingcdn.com/4f2250e8/52f9dfdd4f9b04d15f0c9238111ab544/v0/medium/jhalak_luxuria-ambernath_east-mumbai-jhalak_constructions.jpg,Gallery Cover Pic of Jhalak Luxuria,"Ambernath East, Mumbai",https://housing.com/in/buy/mumbai/ambernath_west,₹31.7 L - 49.56 L,"1, 2 BHK Apartments",EMI starts at ₹30.91 K,RERA,By Jhalak Constructions,Jhalak Constructions,https://housing.com/in/buy/builders/3416763_jhalak_constructions,Developer,"Situated on ambernath’s highest point – Jhalak Luxuria is surrounded by lush greens and a view of the mountains, also being close to your basic needs and daily facilities like railway station, ri","{'N_Id': 18, 'Name': ['None']}"
19,JP Synergy,https://housing.com/in/buy/projects/page/44281-jp-synergy-by-jp-corp-in-ambernath-east,https://is1-2.housingcdn.com/4f2250e8/174724ec169cde75d2a3d51a4b24fa7b/v0/medium/jp_synergy-ambernath_east-mumbai-jp_corp.jpg,Gallery Cover Pic of JP Synergy,Ambernath East,https://housing.com/in/buy/mumbai/ambernath_east,₹22.4 L - 26.7 L,1 BHK Apartment,EMI starts at ₹16.65 K,None,By JP Corp,JP Corp,https://housing.com/in/buy/builders/867934_jp_corp,Developer,"RERA ID :P51700013804
The apartment is one of a kind, featuring elegantly designed 1 BHK units with a master bedroom, private sundeck/gallery. This brand new 1BHK property i","{'N_Id': 19, 'Name': ['None']}"
20,Regency Park,https://housing.com/in/buy/projects/page/16710-regency-park-by-jh-zojwalla-group-in-lokgram,https://is1-3.housingcdn.com/4f2250e8/0bcc4f736f76c1b05ca9524d4df676d8/v2/medium/regency_park-kalyan_east-mumbai-jh_zojwalla_group.jpg,Gallery Cover Pic of Regency Park,"Kalyan East, Kalyan",https://housing.com/in/buy/mumbai/kalyan_east,₹43.0 L - 70.0 L,"1, 2 BHK Apartments",EMI starts at ₹43.66 K,RERA,By JH Zojwalla Group,JH Zojwalla Group,https://housing.com/in/buy/builders/356247_jh_zojwalla_group,Developer,"This Rera id P51700008733 is for project Regency Park. Admittedly not for everyone, Regency Park is the ultimate limited edition living experience.Each house is unique and captures the spirit of","{'N_Id': 20, 'Name': ['None']}"
